p_id,会社ID ※IDは半角スペースで区切る,メモ,メモ,メモ,メモ
car_pipe_op_l880_1,yeg001 FG001,yeg001,FG001,1,0
car_pipe_op_l880_3,yef001a FG001a,yef001a,FG001a,1,
car_pipe_ic_altoworks_2,yeg002 FG002,yeg002,FG002,2,
car_pipe_ic_altoworks_3,yeg002g FG002g,yeg002g,FG002g,2,
car_pipe_ic_altoworks_1,yeg003 FG003,yeg003,FG003,3,
car_pipe_ic_cappuccino_1,yeg004 FG004,yeg004,FG004,4,
car_pipe_ic_la400k_1,yeg005 FG005,yeg005,FG005,5,
car_chamber_jb23_1,yeg006 FG006,yeg006,FG006,6,
car_manifold_ex_jb23,yeg009 FG009,yeg009,FG009,9,
car_chamber_da64_1,yeg012 FG012,yeg012,FG012,12,
car_pipe_ic_s660_1,yeg013 FG013,yeg013,FG013,13,20
car_pipe_ic_jb64_1,yeg014 FG014,yeg014,FG014,14,
car_pipe_ac_jb64_1,yeg015 FG015,yeg015,FG015,15,
car_manifold_ex_jb23_2,yeg018 FG018,yeg018,FG018,18,
car_pipe_ic_jb64_2,yeg019 FG019,yeg019,FG019,19,
car_pipe_op_jb64_1,yeg020 FG020,yeg020,FG020,20,20
car_pipe_g_jb64_1,yeg021 FG021,yeg021,FG021,21,
car_pipe_front_s660_1,yeg022 FG022,yeg022,FG022,22,
car_turbo_op_jb23_1,yeg023 FG023,yeg023,FG023,23,
car_chamber_jb23_old_1,yeg030 FG030,yeg030,FG030,30,
car_chamber_ja12_1,yeg031 FG031,yeg031,FG031,31,
car_manifold_ex_jb23_3,yeg032 FG032,yeg032,FG032,32,
car_manifold_ex_ja12,yeg033 FG033,yeg033,FG033,33,
car_pipe_ic_ja12_1,yeg034 FG034,yeg034,FG034,34,
car_chamber_vamos_1_almi,yeg035a yel035 FG035,yeg035a yel035,FG035,35,20
car_chamber_vamos_1_st,yeg035b FG035,yeg035b,FG035,35,
car_oilcatch_l880k,LH01 FO01,LH01,FO01,1,
car_oilcatch_altworks,LH02 FO02,LH02,FO02,2,20
car_radiator_s660,yn01 FR01,yn01,FR01,1,
car_radiator_nbox,yn02 FR02,yn02,FR02,2,
car_radiator_jb64,yns003 FR03,yns003,FR03,3,x
car_radiator_l880k,yns004 FR04,yns004,FR04,4,x
car_radiator_cappuccino,yns005 FR05 (YN03),yns005,FR05,5,
car_reservetank_cappuccino,jlh03 FT03,jlh03,FT03,3,
car_reservetank_l880,jlh04 FT04,jlh04,FT04,4,
car_intercooler2_l880k,jyh001 JYH001GD FZ001hbc,jyh001 JYH001GD,FZ001hbc,1,
car_intercooler_cappuccino,yel001 FZ001egd,yel001,FZ001egd,1,
car_intercooler_cappuccino_2,yel001bc FZ001ebc,yel001bc,FZ001ebc,1,20
